VP|<NP-ADVP-SBAR-,-S> ==> NP VP|<ADVP-SBAR-,-S> [1.0]
VP ==> VB VP|<PP-SBAR> [6.90846286701E-4]
FRAG|<:-FRAG-.> ==> : FRAG|<FRAG-.> [1.0]
VP ==> VBG VP|<NP-,-NP> [6.90846286701E-5]
UCP ==> NN UCP|<,-JJ-NN-,-NNS-CC-NN> [0.025641025641]
NP ==> JJ NP|<NN-NN-NNP-CC-NNP> [3.24685866424E-5]
VP ==> VBN VP|<PRT-NP-,-SBAR> [6.90846286701E-5]
SBARQ|<S-.> ==> S . [1.0]
S ==> NP S|<ADVP-PP> [2.11260166896E-4]
NP|<NN-CC-RB> ==> NN NP|<CC-RB> [1.0]
VP ==> VBD VP|<NP-PP-SBAR> [6.90846286701E-4]
NX|<VBN-NN> ==> VBN NN [1.0]
NP ==> JJ NP|<NN-NNP-NNP> [9.74057599273E-5]
NP|<NNP-NNP-CC-NNP-,-NNP> ==> NNP NP|<NNP-CC-NNP-,-NNP> [1.0]
S|<NP-VP> ==> NP VP [1.0]
NP ==> PRP$ NP|<NNP-CD-JJ-NN> [3.24685866424E-5]
NP|<NNP-CC-NNP-NNP-NNP-NNS> ==> NNP NP|<CC-NNP-NNP-NNP-NNS> [1.0]
VP|<CONJP-VP> ==> CONJP VP [1.0]
VP|<VB-NP-PP> ==> VB VP|<NP-PP> [1.0]
PRN|<CC-NP> ==> CC NP [1.0]
NP ==> DT NP|<JJ-NN-POS> [4.87028799636E-4]
NP|<CC-PRN-NP> ==> CC NP|<PRN-NP> [1.0]
NP|<DT-``-JJ-''-NN> ==> DT NP|<``-JJ-''-NN> [1.0]
S ==> CC S|<PRN-``-NP-VP-,-''> [1.05630083448E-4]
SINV ==> `` SINV|<S-,-''-VP-NP-.-``> [0.01]
ADJP|<PP-,-ADJP> ==> PP ADJP|<,-ADJP> [1.0]
NP|<JJ-NNP-NNP-NNP-NNP> ==> JJ NP|<NNP-NNP-NNP-NNP> [1.0]
NP ==> NP NP|<JJ-``-NN-NN-''-NNS> [3.24685866424E-5]
NAC ==> NNP PP [0.294117647059]
NP|<JJ-NN-VBG-NN> ==> JJ NP|<NN-VBG-NN> [1.0]
ADJP ==> ADJP ADJP|<,-CC-ADJP> [8.09061488673E-4]
S|<NN-S> ==> NN S [1.0]
NP ==> IN NP|<JJ-NNS> [3.24685866424E-5]
NP ==> NP NP|<JJ-NNP-NNP-NNP-NNP-NN> [3.24685866424E-5]
PRN ==> : PRN|<CC-ADVP-ADVP-:> [0.00334448160535]
VP ==> VBD VP|<ADJP-PP> [6.90846286701E-4]
VP ==> VBN VP|<NP-PRN-SBAR> [6.90846286701E-5]
S ==> ADJP NP [1.05630083448E-4]
NP|<CD-JJ-NNS> ==> CD NP|<JJ-NNS> [1.0]
VP ==> VBZ VP|<RB-ADJP-SBAR> [3.45423143351E-4]
S ==> ADVP S|<NP-VP> [0.00158445125172]
NP|<JJ-VBN-NNS> ==> JJ NP|<VBN-NNS> [1.0]
NP ==> CD NP|<JJ-NN> [3.24685866424E-4]
NAC|<NNP-PP> ==> NNP PP [1.0]
VP ==> VBD VP|<PRT-NP-S> [6.90846286701E-5]
NP|<CD-,-CD> ==> CD NP|<,-CD> [1.0]
FRAG|<NP-,-RB-PP> ==> NP FRAG|<,-RB-PP> [1.0]
VP|<,-ADVP-VP-,-NP> ==> , VP|<ADVP-VP-,-NP> [1.0]
VP ==> VBZ VP|<NP-,-``-S> [6.90846286701E-5]
NP ==> NP NP|<PRN-``-VP-.-''> [3.24685866424E-5]
ADJP ==> JJ ADJP|<CC-VBG> [8.09061488673E-4]
VP ==> VBN VP|<NP-SBAR-:-SBAR> [6.90846286701E-5]
NP ==> NP NP|<QP-.> [1.62342933212E-4]
NP ==> NP NP|<JJS-VBG-NNS> [3.24685866424E-5]
SBARQ|<PRN-``-WHADVP-SQ-.-''> ==> PRN SBARQ|<``-WHADVP-SQ-.-''> [1.0]
NP ==> ADVP NP|<DT-JJ-NNP-NN-NN> [3.24685866424E-5]
VP ==> VB VP|<ADVP-PP> [9.67184801382E-4]
VP|<VB-PRN-NP-PP-PP> ==> VB VP|<PRN-NP-PP-PP> [1.0]
VP|<VB-PRT-NP-PP> ==> VB VP|<PRT-NP-PP> [1.0]
VP ==> VBD VP|<NP-NP-,-S> [6.90846286701E-5]
VP|<CC-VBN-NP-PP-PP> ==> CC VP|<VBN-NP-PP-PP> [1.0]
SINV ==> `` SINV|<SBARQ-.-''-VP-NP-.> [0.0050]
ADJP ==> ADVP ADJP|<IN-JJ-PP> [8.09061488673E-4]
NP ==> NP NP|<,-''-PP> [3.24685866424E-5]
S|<PRN-``-VP-.-''> ==> PRN S|<``-VP-.-''> [1.0]
ADJP|<,-CC-ADJP> ==> , ADJP|<CC-ADJP> [1.0]
S ==> `` S|<S-,-NP-VP-.> [6.33780500687E-4]
VP ==> VB VP|<NP-PP-``-S> [6.90846286701E-5]
S ==> `` S|<NP-VP-.-''-''> [1.05630083448E-4]
NP|<VP-,> ==> VP , [1.0]
NP ==> PRP$ NP|<JJ-NNP-NNP-NNP> [3.24685866424E-5]
PP|<''-NP> ==> '' NP [1.0]
NP ==> NNP NP|<CD-,-CD-,> [3.24685866424E-5]
FRAG|<FRAG-:-FRAG-:-FRAG-.> ==> FRAG FRAG|<:-FRAG-:-FRAG-.> [1.0]
PP ==> IN PP|<NP-SBAR> [1.07273117357E-4]
NX ==> JJ NX|<NN-NN> [0.014598540146]
NP ==> DT NP|<NNP-NN-NN-NN> [6.49371732848E-5]
VP ==> VBZ VP|<NP-ADVP> [0.00110535405872]
NP|<NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-CC-NP> ==> NP NP|<:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-CC-NP> [1.0]
PP ==> DT PP|<TO-NP> [1.07273117357E-4]
S|<PRN-,-CC-S-.-''> ==> PRN S|<,-CC-S-.-''> [1.0]
NP|<NN-NNS-''> ==> NN NP|<NNS-''> [1.0]
VP ==> VBD VP|<ADJP-:-PP> [6.90846286701E-5]
VP ==> JJ S [6.90846286701E-5]
VP|<``-NP-PP> ==> `` VP|<NP-PP> [1.0]
NP|<ADJP-NN-JJ-NN> ==> ADJP NP|<NN-JJ-NN> [1.0]
SINV|<,-''-VP-NP> ==> , SINV|<''-VP-NP> [1.0]
QP ==> RP CD [0.00126582278481]
NP|<NNP-CC-NNP-NNP> ==> NNP NP|<CC-NNP-NNP> [1.0]
VP ==> VB VP|<NP-PP> [0.0187219343696]
NP|<,-NNP-,-NNP-,-NNP-NNP> ==> , NP|<NNP-,-NNP-,-NNP-NNP> [1.0]
NP ==> NP NP|<NNP-NN-NN> [3.24685866424E-5]
NP|<NNS-NN-CC-NNS-NN> ==> NNS NP|<NN-CC-NNS-NN> [1.0]
NP ==> NNP POS [0.00775999220754]
QP ==> DT QP|<VBN-CD-TO-CD> [0.00126582278481]
S ==> RB S|<,-PP-,-NP-VP-.> [1.05630083448E-4]
NP|<NP-NNS> ==> NP NNS [1.0]
NP ==> NP NP|<JJR-NNS> [3.24685866424E-5]
NX|<NX-CC-NX> ==> NX NX|<CC-NX> [1.0]
NP ==> NP NP|<NN-S> [8.11714666061E-4]
VP|<SBAR-:-PP> ==> SBAR VP|<:-PP> [1.0]
NP ==> PRP$ NP|<JJ-``-NN-''> [3.24685866424E-5]
VP|<,-CC-``-VP> ==> , VP|<CC-``-VP> [1.0]
VP ==> VBN VP|<NP-``-S-''> [6.90846286701E-5]
PP ==> PP PP|<,-PP> [5.36365586784E-4]
NP ==> NNP NP|<,-NNP-,> [1.2987434657E-4]
PP|<PP-:-CC-PP> ==> PP PP|<:-CC-PP> [1.0]
NP ==> NP NP|<PP-PRN-NP> [3.24685866424E-5]
PRN|<PP-NP> ==> PP NP [1.0]
NP|<,-NN-,-NN> ==> , NP|<NN-,-NN> [1.0]
NP|<NP-CC-NP> ==> NP NP|<CC-NP> [1.0]
NP|<NP-NNP> ==> NP NNP [1.0]
NP ==> DT NP|<JJ-VBN-NNS> [6.49371732848E-5]
NP ==> NP NP|<PP-PP> [0.00603915711549]
VP ==> VBG VP|<S-S> [6.90846286701E-5]
NP|<,-NNS-CC-NN-NNS-NN> ==> , NP|<NNS-CC-NN-NNS-NN> [1.0]
VP|<CC-VBZ-NP> ==> CC VP|<VBZ-NP> [1.0]
VP ==> VBD VP|<ADVP-,-PP> [6.90846286701E-5]
VP ==> VBZ VP|<ADVP-NP-SBAR> [6.90846286701E-5]
NP ==> NP NP|<PP-,-SBAR-,> [2.27280106497E-4]
NP|<NP-PP-.> ==> NP NP|<PP-.> [1.0]
VP|<RB-NP> ==> RB NP [1.0]
VP|<,-S-,-PP> ==> , VP|<S-,-PP> [1.0]
SQ ==> VBZ SQ|<NP-VP> [0.147058823529]
NP ==> DT NP|<``-JJ-NN> [1.62342933212E-4]
S|<SBAR-,-NP-NP-VP-.> ==> SBAR S|<,-NP-NP-VP-.> [1.0]
NP|<NN-NN--NN> ==> NN NP|<NN--NN> [1.0]
VP|<,-NP> ==> , NP [1.0]
UCP ==> JJ UCP|<,-NN-,-NN-CC-JJ> [0.025641025641]
WHNP ==> WP$ WHNP|<NN-CC-NN> [0.00133155792277]
NP ==> PRP$ NP|<JJ-NN-NNS> [9.74057599273E-5]
VP ==> ADVP VP|<VBD-NP-PP> [2.0725388601E-4]
NP ==> `` NP|<NP-''-PRN-PP> [3.24685866424E-5]
QP|<JJS-CD> ==> JJS CD [1.0]
VP|<PP-,-ADVP> ==> PP VP|<,-ADVP> [1.0]
SINV ==> VP SINV|<NP-:-``-S-.-''> [0.01]
VP|<CC-VP-VP> ==> CC VP|<VP-VP> [1.0]
NP|<NNP-NN-S> ==> NNP NP|<NN-S> [1.0]
SINV ==> VP SINV|<NP-:-``-S-.> [0.01]
SINV ==> RB SINV|<PP-VBP-NP-.> [0.0050]
NP|<JJ-``-NN-''> ==> JJ NP|<``-NN-''> [1.0]
NP|<NN-NN-VBG-NN> ==> NN NP|<NN-VBG-NN> [1.0]
NP|<,-VP-.> ==> , NP|<VP-.> [1.0]
NP ==> JJR NP|<NNS-CC-NNS> [3.24685866424E-5]
NP|<SBAR-,> ==> SBAR , [1.0]
VP ==> VBN VP|<S-NP> [6.90846286701E-5]
NP ==> CD NP|<VBG-NN-NNS> [3.24685866424E-5]
VP|<PRN-NP-PP> ==> PRN VP|<NP-PP> [1.0]
S ==> NP S|<NP-PP-VP> [1.05630083448E-4]
VP|<:-SBAR> ==> : SBAR [1.0]
NP|<NNP-,-NNP> ==> NNP NP|<,-NNP> [1.0]
VP|<PRT-NP-PP-ADVP-ADVP> ==> PRT VP|<NP-PP-ADVP-ADVP> [1.0]
S ==> NP S|<,-NP-VP-.> [0.00264075208619]
FRAG|<:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-.> ==> : FRAG|<FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-.> [1.0]
NP|<JJ-NN-NNP> ==> JJ NP|<NN-NNP> [1.0]
NP ==> DT NP|<NNP-NNP-NNPS-CC-NNP-NNP> [3.24685866424E-5]
NP|<NNS-''-NN> ==> NNS NP|<''-NN> [1.0]
NP ==> JJ NP|<,-ADJP-NNP-NNS> [3.24685866424E-5]
VP|<NP-PP-S-NP-,-S> ==> NP VP|<PP-S-NP-,-S> [1.0]
VP|<S-''-PP> ==> S VP|<''-PP> [1.0]
NP|<,-VP-,> ==> , NP|<VP-,> [1.0]
NP|<NNS-''> ==> NNS '' [1.0]
NP ==> DT NP|<``-ADJP-NN> [3.24685866424E-5]
NP ==> NNP NP|<NNP-.> [9.74057599273E-5]
VP|<``-S> ==> `` S [1.0]
NP ==> DT NP|<CD-NN> [8.76651839345E-4]
VP|<ADVP-,-FRAG> ==> ADVP VP|<,-FRAG> [1.0]
NP|<ADJP-QP--NONE-> ==> ADJP NP|<QP--NONE-> [1.0]
NP ==> DT NP|<ADJP-NN-SBAR> [3.24685866424E-5]
NP ==> DT NP|<JJ-NAC-NN> [3.24685866424E-5]
S ==> SBAR S|<,-PP-,-SBAR-``-NP-VP-.-''> [1.05630083448E-4]
UCP|<:-PP> ==> : PP [1.0]
S|<INTJ-,-NP-VP-PRN> ==> INTJ S|<,-NP-VP-PRN> [1.0]
NP|<JJR-NNP-CD-NN> ==> JJR NP|<NNP-CD-NN> [1.0]
VP ==> VB VP|<NP-PRT-PP-PP> [6.90846286701E-5]
S|<PRN-``-S-.> ==> PRN S|<``-S-.> [1.0]
VP ==> VBN VP|<:-NP> [6.90846286701E-5]
VP|<:-``-SBARQ-''> ==> : VP|<``-SBARQ-''> [1.0]
NP ==> DT NP|<CD-JJ-JJ-NNS> [6.49371732848E-5]
ADJP ==> JJS JJ [0.00242718446602]
NP ==> PRP NP|<NNP-NNP-NNP> [3.24685866424E-5]
VP|<``-ADVP-NP> ==> `` VP|<ADVP-NP> [1.0]
NP ==> NNP NP|<,-NNP> [1.94811519855E-4]
NP|<CD-POS> ==> CD POS [1.0]
ADVP ==> NP RBR [0.0037513397642]
VP|<ADVP-SBAR-''-PP> ==> ADVP VP|<SBAR-''-PP> [1.0]
VP ==> VBN VP|<NP-ADVP-,-ADVP> [6.90846286701E-5]
NP ==> NN POS [6.16903146206E-4]
NP ==> DT NP|<``-NN-NN-''-NN> [3.24685866424E-5]
VP ==> VB VP|<NP-PRT> [3.45423143351E-4]
VP|<:-CC-FRAG> ==> : VP|<CC-FRAG> [1.0]
VP ==> VBD VP|<PRT-PP-PP-PP> [6.90846286701E-5]
ADJP ==> JJ ADJP|<,-JJ-CC-JJ> [0.00242718446602]
VP|<NP-PP-S-ADVP> ==> NP VP|<PP-S-ADVP> [1.0]
VP ==> VBG VP|<NP-ADVP> [8.29015544041E-4]
NP ==> JJ NP|<NN-CC-NN-NNS> [1.62342933212E-4]
NP ==> NP NP|<,-NP-,-PP> [6.49371732848E-5]
VP ==> VBZ VP|<NP-:-PP-ADVP> [6.90846286701E-5]
VP ==> VBD VP|<NP-PP-,-SBAR> [2.7633851468E-4]
NP|<:-CC-NP-:> ==> : NP|<CC-NP-:> [1.0]
ADJP|<,-JJ> ==> , JJ [1.0]
VP|<VBD-NP-PP> ==> VBD VP|<NP-PP> [1.0]
PRN|<''-S-,> ==> '' PRN|<S-,> [1.0]
SINV|<S-,-VP-NP-.> ==> S SINV|<,-VP-NP-.> [1.0]
INTJ|<,-NN-,-NN-,-NN-,-NN-,-NN> ==> , INTJ|<NN-,-NN-,-NN-,-NN-,-NN> [1.0]
VP|<ADJP-:-S> ==> ADJP VP|<:-S> [1.0]
VP|<CONJP-VP-PP> ==> CONJP VP|<VP-PP> [1.0]
NP|<,-ADJP-NN> ==> , NP|<ADJP-NN> [1.0]
NP|<DT-JJ-NN-NN-NNS> ==> DT NP|<JJ-NN-NN-NNS> [1.0]
NP ==> NP NP|<PP-S> [5.19497386279E-4]
VP ==> TO NP [6.90846286701E-5]
S|<,-ADVP-,-NP-VP> ==> , S|<ADVP-,-NP-VP> [1.0]
NP ==> PRP$ NNP [9.74057599273E-5]
NP|<NNP-NNP-NNP-NNP-NN> ==> NNP NP|<NNP-NNP-NNP-NN> [1.0]
S|<NP-PP-VP-.> ==> NP S|<PP-VP-.> [1.0]
VP ==> ADVP VP|<VBP-ADVP> [6.90846286701E-5]
PRN|<ADVP-NP> ==> ADVP NP [1.0]
ADJP ==> RB ADJP|<JJR-IN> [8.09061488673E-4]
NP ==> NP NP|<NN-NNP-NNP> [3.24685866424E-5]
S ==> CC S|<,-PP-,-NP-VP-.-''> [2.11260166896E-4]
S ==> S S|<NP-VP-.> [4.22520333791E-4]
S ==> PP S|<,-S-,-CC-S-.> [3.16890250343E-4]
S ==> NP S|<,-PP-,-VP-.> [0.00147882116827]
VP|<VP-CC-VP-ADVP> ==> VP VP|<CC-VP-ADVP> [1.0]
VP=2|<NP-PP> ==> NP PP [1.0]
NP|<NNP-NN-POS> ==> NNP NP|<NN-POS> [1.0]
NP ==> CD NP|<NNP-:> [3.24685866424E-5]
NP ==> DT NP|<NNP-JJ-NN-NN> [3.24685866424E-5]
NP|<UCP-NN> ==> UCP NN [1.0]
NP ==> JJ NP|<JJ-NNPS-CC-NNPS-CC-NNPS> [3.24685866424E-5]
NP ==> DT NP|<NN-NN-S> [9.74057599273E-5]
NP ==> DT NP|<NAC-NN-VBG-NN> [3.24685866424E-5]
NP|<CC-NN-NN> ==> CC NP|<NN-NN> [1.0]
PP|<JJ-ADVP-PP-:> ==> JJ PP|<ADVP-PP-:> [1.0]
NP|<JJ-NNS-SBAR> ==> JJ NP|<NNS-SBAR> [1.0]
VP ==> VB VP|<ADVP-VP> [3.45423143351E-4]
VP ==> VBD VP|<NP-PP-S-NP-,-S> [6.90846286701E-5]
NP|<NNP-NNP-NN> ==> NNP NP|<NNP-NN> [1.0]
S|<,-NP-,-S-,-VP-.> ==> , S|<NP-,-S-,-VP-.> [1.0]
VP ==> VBN VP|<NP-PP-PP-,-SBAR> [6.90846286701E-5]
NP|<,-NP-,-SBAR-,> ==> , NP|<NP-,-SBAR-,> [1.0]
NP|<NNP-NNP-NN-NNP-NNP> ==> NNP NP|<NNP-NN-NNP-NNP> [1.0]
VP|<NP-,-CC-NP> ==> NP VP|<,-CC-NP> [1.0]
NP ==> IN NP|<DT-NN> [3.24685866424E-5]
PP ==> PP PP|<CONJP-PP> [1.07273117357E-4]
VP|<ADJP-PP-,-PP-NP> ==> ADJP VP|<PP-,-PP-NP> [1.0]
NP ==> NP NP|<PP-ADJP-,-VP-,-PP-.> [3.24685866424E-5]
NP ==> NNP NP|<NNP-NNP-POS> [5.51965972921E-4]
